order_id,customer_id,order_date,order_status
O10111,C1777,01-01-2025,Cancelled
O10112,C1459,01-01-2025,Placed
O10113,C1927,01-01-2025,Placed
O10114,C1019,01-01-2025,Delivered
O10115,C1220,01-01-2025,Shipped
O10116,C1561,01-01-2025,Cancelled
O10117,C1113,01-01-2025,Delivered
O10118,C1243,01-01-2025,Delivered
O10119,C1124,01-01-2025,Placed
O10120,C1244,01-01-2025,Cancelled
O10121,C1654,01-01-2025,Cancelled
O10122,C1064,01-01-2025,Placed
O10123,C1856,01-01-2025,Cancelled
O10124,C1611,01-01-2025,Placed
O10125,C1647,01-01-2025,Shipped
O10126,C1735,01-01-2025,Shipped
O10127,C1298,01-01-2025,Cancelled
O10128,C1001,01-01-2025,Delivered
O10129,C1246,01-01-2025,Cancelled
O10130,C1191,01-01-2025,Placed
O10131,C1536,01-01-2025,Delivered
O10132,C1069,01-01-2025,Placed
O10133,C1399,01-01-2025,Cancelled
O10134,C1044,01-01-2025,Cancelled
O10135,C1382,01-01-2025,Delivered
O10136,C1765,01-01-2025,Placed
O10137,C1365,01-01-2025,Placed
O10138,C1353,01-01-2025,Shipped
O10139,C1750,01-01-2025,Placed
O10140,C1790,01-01-2025,Delivered
O10141,C1136,01-01-2025,Placed
O10142,C1360,01-01-2025,Delivered
O10143,C1833,01-01-2025,Shipped
O10144,C1850,01-01-2025,Cancelled
O10145,C1712,01-01-2025,Cancelled
O10146,C1646,01-01-2025,Shipped
O10147,C1830,01-01-2025,Shipped
O10148,C1064,01-01-2025,Cancelled
O10149,C1037,01-01-2025,Delivered
O10150,C1044,02-01-2025,Shipped
O10151,C1907,02-01-2025,Placed
O10152,C1323,02-01-2025,Delivered
O10153,C1527,02-01-2025,Cancelled
O10154,C1834,02-01-2025,Cancelled
O10155,C1259,02-01-2025,Placed
O10156,C1771,02-01-2025,Shipped
O10157,C1292,02-01-2025,Delivered
O10158,C1882,02-01-2025,Placed
O10159,C1886,02-01-2025,Delivered
O10160,C1279,02-01-2025,Placed
O10161,C1818,02-01-2025,Delivered
O10162,C1447,02-01-2025,Cancelled
O10163,C1761,02-01-2025,Cancelled
O10164,C1916,02-01-2025,Cancelled
O10165,C1347,02-01-2025,Shipped
O10166,C1508,02-01-2025,Cancelled
O10167,C1376,02-01-2025,Delivered
O10168,C1820,02-01-2025,Placed
O10169,C1744,02-01-2025,Cancelled
O10170,C1080,02-01-2025,Cancelled
O10171,C1616,02-01-2025,Shipped
O10172,C1558,02-01-2025,Delivered
O10173,C1328,02-01-2025,Placed
O10174,C1081,02-01-2025,Delivered
O10175,C1676,02-01-2025,Delivered
O10176,C1313,02-01-2025,Cancelled
O10177,C1617,02-01-2025,Cancelled
O10178,C1170,02-01-2025,Cancelled
O10179,C1359,02-01-2025,Cancelled
O10180,C1043,02-01-2025,Delivered
O10181,C1629,02-01-2025,Cancelled
O10182,C1281,02-01-2025,Placed
O10183,C1076,02-01-2025,Cancelled
O10184,C1372,02-01-2025,Shipped
O10185,C1975,02-01-2025,Placed
O10186,C1146,02-01-2025,Cancelled
O10187,C1035,02-01-2025,Shipped
O10188,C1068,02-01-2025,Shipped
O10189,C1797,02-01-2025,Delivered
O10190,C1370,02-01-2025,Cancelled
O10191,C1972,02-01-2025,Placed
O10192,C1619,02-01-2025,Shipped
O10193,C1695,02-01-2025,Cancelled
O10194,C1971,02-01-2025,Delivered
O10195,C1380,02-01-2025,Cancelled
O10196,C1781,02-01-2025,Placed
O10197,C1587,02-01-2025,Shipped
O10198,C1542,02-01-2025,Delivered
O10199,C1407,02-01-2025,Delivered
O10200,C1665,02-01-2025,Delivered
O10201,C1255,02-01-2025,Placed
O10202,C1026,02-01-2025,Shipped
O10203,C1511,02-01-2025,Cancelled
O10204,C1935,02-01-2025,Placed
O10205,C1268,02-01-2025,Delivered
O10206,C1720,02-01-2025,Cancelled
O10207,C1219,02-01-2025,Delivered
O10208,C1710,02-01-2025,Cancelled
O10209,C1204,02-01-2025,Placed
O10210,C1138,02-01-2025,Placed
O10211,C1462,02-01-2025,Shipped
O10212,C1920,02-01-2025,Cancelled
O10213,C1089,02-01-2025,Delivered
O10214,C1683,02-01-2025,Delivered
O10215,C1726,02-01-2025,Placed
O10216,C1563,02-01-2025,Delivered
O10217,C1912,02-01-2025,Delivered
O10218,C1871,02-01-2025,Shipped
O10219,C1728,02-01-2025,Shipped
O10220,C1812,02-01-2025,Delivered
O10221,C1229,03-01-2025,
O10222,C1205,03-01-2025,Shipped
O10223,C1242,03-01-2025,Cancelled
O10224,C1026,03-01-2025,Delivered
O10225,C1567,03-01-2025,Delivered
O10226,C1478,03-01-2025,Shipped
O10227,C1626,03-01-2025,Placed
O10228,C1067,03-01-2025,Delivered
O10229,C1407,03-01-2025,Cancelled
O10230,C1538,03-01-2025,Cancelled
O10231,C1787,03-01-2025,Cancelled
O10232,C1843,03-01-2025,Placed
O10233,C1128,03-01-2025,Delivered
O10234,C1657,03-01-2025,Placed
O10235,C1460,03-01-2025,Cancelled
O10236,C1696,03-01-2025,Delivered
O10237,C1131,03-01-2025,Shipped
O10238,C1786,03-01-2025,Shipped
O10239,C1443,03-01-2025,Placed
O10240,C1851,03-01-2025,Placed
O10241,C1530,03-01-2025,Shipped
O10242,C1311,03-01-2025,
O10243,C1165,03-01-2025,Delivered
O10244,C1957,03-01-2025,Shipped
O10245,C1354,03-01-2025,Delivered
O10246,C1866,03-01-2025,Placed
O10247,C1256,03-01-2025,Shipped
O10248,C1650,03-01-2025,
O10249,C1128,03-01-2025,Delivered
O10250,C1629,03-01-2025,Placed
O10251,C1514,03-01-2025,Shipped
O10252,C1606,03-01-2025,Shipped
O10253,C1175,03-01-2025,Delivered
O10254,C1862,03-01-2025,Placed
O10255,C1845,03-01-2025,Placed
O10256,C1083,03-01-2025,Placed
O10257,C1971,03-01-2025,Delivered
O10258,C1666,03-01-2025,Shipped
O10259,C1785,03-01-2025,Cancelled
O10260,C1632,03-01-2025,Placed
O10261,C1509,03-01-2025,Delivered
O10262,C1657,03-01-2025,Delivered
O10263,C1494,03-01-2025,Shipped
O10264,C1824,03-01-2025,Cancelled
O10265,C1304,03-01-2025,Cancelled
O10266,C1074,03-01-2025,Placed
O10267,C1161,03-01-2025,Cancelled
O10268,C1425,03-01-2025,Cancelled
O10269,C1475,03-01-2025,Shipped
O10270,C1348,03-01-2025,Shipped
O10271,C1320,03-01-2025,Delivered
O10272,C1751,03-01-2025,Delivered
O10273,C1998,03-01-2025,Cancelled
O10274,C1133,03-01-2025,Delivered
O10275,C1527,03-01-2025,Placed
O10276,C1326,03-01-2025,Shipped
O10277,C1477,03-01-2025,Placed
O10278,C1273,03-01-2025,Cancelled
O10279,C1253,03-01-2025,Shipped
O10280,C1099,03-01-2025,Placed
O10281,C1297,03-01-2025,Cancelled
O10282,C1884,03-01-2025,Cancelled
O10283,C1254,03-01-2025,Shipped
O10284,C1833,03-01-2025,Delivered
O10285,C1956,03-01-2025,Delivered
O10286,C1194,03-01-2025,Shipped
O10287,C1510,03-01-2025,Cancelled
O10288,C1510,03-01-2025,Delivered
O10289,C1509,03-01-2025,Placed
O10290,C1092,03-01-2025,Cancelled
O10291,C1517,03-01-2025,Cancelled
O10292,C1989,03-01-2025,Shipped
O10293,C1220,03-01-2025,Delivered
O10294,C1049,03-01-2025,Placed
O10295,C1288,03-01-2025,Cancelled
O10296,C1611,03-01-2025,Cancelled
O10297,C1292,03-01-2025,Placed
O10298,C1867,03-01-2025,Placed
O10299,C1441,03-01-2025,Shipped
O10300,C1903,03-01-2025,Delivered
O10301,C1744,03-01-2025,Delivered
O10302,C1782,03-01-2025,Cancelled
O10303,C1374,03-01-2025,Placed
O10304,C1410,03-01-2025,Placed
O10305,C1583,03-01-2025,Shipped
O10306,C1371,03-01-2025,Delivered
O10307,C1075,03-01-2025,Cancelled
O10308,C1516,03-01-2025,Cancelled
O10309,C1782,03-01-2025,Delivered
O10310,C1845,03-01-2025,Placed
O10311,C1131,03-01-2025,Placed
O10312,C1403,03-01-2025,Delivered
O10313,C1813,03-01-2025,Delivered
O10314,C1571,03-01-2025,Delivered
O10315,C1773,03-01-2025,Shipped
O10316,C1203,03-01-2025,Cancelled
O10317,C1512,03-01-2025,Placed
O10318,C1046,03-01-2025,
O10319,C1140,03-01-2025,Delivered
O10320,C1823,03-01-2025,Cancelled
O10321,C1531,03-01-2025,Cancelled
O10322,C1152,03-01-2025,Shipped
O10323,C1335,03-01-2025,Delivered
O10324,C1166,03-01-2025,Cancelled
O10325,C1631,03-01-2025,Delivered
O10326,C1607,03-01-2025,Delivered
O10327,C1519,03-01-2025,Cancelled
O10328,C1725,03-01-2025,Delivered
O10329,C1486,03-01-2025,Placed
O10330,C1377,03-01-2025,Delivered
O10331,C1689,03-01-2025,Placed
O10332,C1426,03-01-2025,Delivered
O10333,C1815,03-01-2025,Placed
O10334,C1611,03-01-2025,Cancelled
O10335,C1271,03-01-2025,Shipped
O10336,C1738,03-01-2025,Placed
O10337,C1597,03-01-2025,Cancelled
O10338,C1174,03-01-2025,Cancelled
O10339,C1151,03-01-2025,Shipped
O10340,C1032,03-01-2025,Placed
O10341,C1195,03-01-2025,Placed
O10342,C1451,03-01-2025,Delivered
O10343,C1428,03-01-2025,
O10344,C1422,03-01-2025,Shipped
O10345,C1420,03-01-2025,Cancelled
O10346,C1893,03-01-2025,Placed
O10347,C1722,03-01-2025,Shipped
O10348,C1531,03-01-2025,Shipped
O10349,C1574,03-01-2025,Delivered
O10350,C1678,03-01-2025,Cancelled
O10351,C1538,03-01-2025,Cancelled
O10352,C1321,03-01-2025,Shipped
O10353,C1470,03-01-2025,Delivered
O10354,C1559,03-01-2025,Delivered
O10355,C1692,03-01-2025,Delivered
O10356,C1624,03-01-2025,Cancelled
O10357,C1196,03-01-2025,Shipped
O10358,C1285,03-01-2025,Delivered
O10359,C1230,03-01-2025,Delivered
O10360,C1789,03-01-2025,Delivered
O10361,C1721,03-01-2025,Shipped
O10362,C1706,03-01-2025,Cancelled
O10363,C1324,03-01-2025,Cancelled
O10364,C1357,03-01-2025,Delivered
O10365,C1294,03-01-2025,Placed
O10366,C1587,03-01-2025,Cancelled
O10367,C1917,03-01-2025,Cancelled
O10368,C1838,03-01-2025,Delivered
O10369,C1977,03-01-2025,Shipped
O10370,C1297,03-01-2025,Placed
O10371,C1978,04-01-2025,Placed
O10372,C1354,04-01-2025,Cancelled
O10373,C1671,04-01-2025,Delivered
O10374,C1765,04-01-2025,Cancelled
O10375,C1219,04-01-2025,Shipped
O10376,C1847,04-01-2025,Delivered
O10377,C1955,04-01-2025,Delivered
O10378,C1140,04-01-2025,Placed
O10379,C1630,04-01-2025,Shipped
O10380,C1248,04-01-2025,Placed
O10381,C1685,04-01-2025,Shipped
O10382,C1653,04-01-2025,Shipped
O10383,C1053,04-01-2025,Placed
O10384,C1423,04-01-2025,Delivered
O10385,C1734,04-01-2025,Cancelled
O10386,C1102,04-01-2025,Shipped
O10387,C1005,04-01-2025,Shipped
O10388,C1416,04-01-2025,Cancelled
O10389,C1488,04-01-2025,Shipped
O10390,C1774,04-01-2025,Delivered
O10391,C1328,04-01-2025,Delivered
O10392,C1661,04-01-2025,Placed
O10393,C1929,04-01-2025,Placed
O10394,C1667,04-01-2025,Shipped
O10395,C1547,04-01-2025,Placed
O10396,C1935,04-01-2025,Shipped
O10397,C1427,04-01-2025,Shipped
O10398,C1956,04-01-2025,Placed
O10399,C1856,04-01-2025,Cancelled
O10400,C1806,04-01-2025,Cancelled
O10401,C1190,04-01-2025,
O10402,C1897,04-01-2025,Placed
O10403,C1009,04-01-2025,Delivered
O10404,C1581,04-01-2025,Placed
O10405,C1950,04-01-2025,Delivered
O10406,C1291,04-01-2025,Cancelled
O10407,C1656,04-01-2025,Cancelled
O10408,C1910,04-01-2025,Shipped
O10409,C1871,04-01-2025,Cancelled
O10410,C1279,04-01-2025,Shipped
O10411,C1828,04-01-2025,Placed
O10412,C1338,04-01-2025,Shipped
O10413,C1748,04-01-2025,Cancelled
O10414,C1663,04-01-2025,Delivered
O10415,C1735,04-01-2025,Shipped
O10416,C1014,04-01-2025,Delivered
O10417,C1809,04-01-2025,Delivered
O10418,C1581,04-01-2025,Shipped
O10419,C1179,04-01-2025,Cancelled
O10420,C1846,04-01-2025,Cancelled
O10421,C1527,04-01-2025,Delivered
O10422,C1088,04-01-2025,Cancelled
O10423,C1685,04-01-2025,Placed
O10424,C1189,04-01-2025,Shipped
O10425,C1488,04-01-2025,Delivered
O10426,C1958,04-01-2025,Shipped
O10427,C1006,04-01-2025,Delivered
O10428,C1392,04-01-2025,Shipped
O10429,C1457,04-01-2025,Delivered
O10430,C1976,04-01-2025,Delivered
O10431,C1309,04-01-2025,Placed
O10432,C1267,04-01-2025,Delivered
O10433,C1709,04-01-2025,Shipped
O10434,C1063,04-01-2025,Placed
O10435,C1476,04-01-2025,Delivered
O10436,C1163,04-01-2025,Cancelled
O10437,C1702,04-01-2025,Delivered
O10438,C1706,04-01-2025,Placed
O10439,C1654,04-01-2025,Delivered
O10440,C1376,04-01-2025,Shipped
O10441,C1224,04-01-2025,Shipped
O10442,C1489,04-01-2025,Shipped
O10443,C1465,04-01-2025,Delivered
O10444,C1425,04-01-2025,Cancelled
O10445,C1775,04-01-2025,Shipped
O10446,C1780,04-01-2025,Shipped
O10447,C1696,04-01-2025,Placed
O10448,C1538,04-01-2025,Cancelled
O10449,C1540,04-01-2025,Delivered
O10450,C1079,04-01-2025,Placed
O10451,C1063,04-01-2025,Shipped
O10452,C1586,04-01-2025,Shipped
O10453,C1168,04-01-2025,
O10454,C1874,04-01-2025,Cancelled
O10455,C1119,04-01-2025,Shipped
O10456,C1734,04-01-2025,
O10457,C1093,04-01-2025,Cancelled
O10458,C1828,04-01-2025,Placed
O10459,C1464,04-01-2025,Shipped
O10460,C1525,04-01-2025,Cancelled
O10461,C1467,04-01-2025,Placed
O10462,C1572,04-01-2025,Cancelled
O10463,C1688,04-01-2025,Delivered
O10464,C1405,05-01-2025,Delivered
O10465,C1836,05-01-2025,Placed
O10466,C1763,05-01-2025,Shipped
O10467,C1592,05-01-2025,Placed
O10468,C1046,05-01-2025,Cancelled
O10469,C1352,05-01-2025,Placed
O10470,C1554,05-01-2025,Placed
O10471,C1957,05-01-2025,Placed
O10472,C1956,05-01-2025,Cancelled
O10473,C1032,05-01-2025,Delivered
O10474,C1418,05-01-2025,Shipped
O10475,C1787,05-01-2025,Shipped
O10476,C1784,05-01-2025,Cancelled
O10477,C1383,05-01-2025,Cancelled
O10478,C1459,05-01-2025,Cancelled
O10479,C1384,05-01-2025,Placed
O10480,C1699,05-01-2025,Shipped
O10481,C1669,05-01-2025,Delivered
O10482,C1121,05-01-2025,Shipped
O10483,C1550,05-01-2025,Cancelled
O10484,C1541,05-01-2025,Shipped
O10485,C1745,05-01-2025,Shipped
O10486,C1854,05-01-2025,Placed
O10487,C1774,05-01-2025,Placed
O10488,C1305,05-01-2025,Cancelled
O10489,C1544,06-01-2025,Cancelled
O10490,C1843,06-01-2025,Shipped
O10491,C1253,06-01-2025,Cancelled
O10492,C1354,06-01-2025,Shipped
O10493,C1282,06-01-2025,Shipped
O10494,C1959,06-01-2025,Placed
O10495,C1032,06-01-2025,
O10496,C1629,06-01-2025,Placed
O10497,C1246,06-01-2025,Shipped
O10498,C1068,06-01-2025,Placed
O10499,C1608,06-01-2025,Placed
O10500,C1457,06-01-2025,Placed
O10501,C1250,06-01-2025,Placed
O10502,C1411,06-01-2025,Cancelled
O10503,C1239,06-01-2025,Shipped
O10504,C1772,06-01-2025,Placed
O10505,C1143,06-01-2025,Delivered
O10506,C1239,06-01-2025,Delivered
O10507,C1591,06-01-2025,Delivered
O10508,C1242,06-01-2025,Delivered
O10509,C1897,06-01-2025,
O10510,C1676,06-01-2025,Shipped
O10511,C1423,06-01-2025,Delivered
O10512,C1281,06-01-2025,Placed
O10513,C1570,06-01-2025,Shipped
O10514,C1641,06-01-2025,Cancelled
O10515,C1569,06-01-2025,Cancelled
O10516,C1048,06-01-2025,Delivered
O10517,C1964,06-01-2025,Cancelled
O10518,C1804,06-01-2025,Delivered
O10519,C1713,06-01-2025,Cancelled
O10520,C1418,06-01-2025,Shipped
O10521,C1307,06-01-2025,Cancelled
O10522,C1188,06-01-2025,Cancelled
O10523,C1246,06-01-2025,
O10524,C1307,06-01-2025,Shipped
O10525,C1825,06-01-2025,Cancelled
O10526,C1936,06-01-2025,Placed
O10527,C1575,06-01-2025,Cancelled
O10528,C1991,06-01-2025,Cancelled
O10529,C1570,06-01-2025,Shipped
O10530,C1397,06-01-2025,Shipped
O10531,C1261,06-01-2025,Shipped
O10532,C1338,06-01-2025,Placed
O10533,C1944,06-01-2025,Cancelled
O10534,C1867,06-01-2025,Delivered
O10535,C1094,06-01-2025,Shipped
O10536,C1052,06-01-2025,Delivered
O10537,C1386,06-01-2025,Placed
O10538,C1894,06-01-2025,Placed
O10539,C1192,06-01-2025,Shipped
O10540,C1490,06-01-2025,Shipped
O10541,C1890,06-01-2025,Delivered
O10542,C1310,06-01-2025,Placed
O10543,C1216,06-01-2025,Shipped
O10544,C1985,06-01-2025,Placed
O10545,C1764,06-01-2025,Cancelled
O10546,C1936,06-01-2025,Shipped
O10547,C1712,06-01-2025,Shipped
O10548,C1406,06-01-2025,
O10549,C1565,06-01-2025,Delivered
O10550,C1794,06-01-2025,Delivered
O10551,C1389,06-01-2025,Cancelled
O10552,C1546,06-01-2025,Delivered
O10553,C1315,06-01-2025,Delivered
O10554,C1368,06-01-2025,Cancelled
O10555,C1477,06-01-2025,Placed
O10556,C1822,06-01-2025,Cancelled
O10557,C1779,06-01-2025,Delivered
O10558,C1936,06-01-2025,Shipped
O10559,C1379,06-01-2025,Delivered
O10560,C1423,06-01-2025,Placed
O10561,C1576,06-01-2025,Shipped
O10562,C1759,06-01-2025,Shipped
O10563,C1016,06-01-2025,Delivered
O10564,C1566,06-01-2025,Cancelled
O10565,C1302,06-01-2025,Shipped
O10566,C1200,06-01-2025,Delivered
O10567,C1235,06-01-2025,
O10568,C1583,06-01-2025,
O10569,C1511,06-01-2025,Delivered
O10570,C1263,06-01-2025,Cancelled
O10571,C1989,06-01-2025,Cancelled
O10572,C1471,06-01-2025,Shipped
O10573,C1750,06-01-2025,Delivered
O10574,C1173,06-01-2025,Shipped
O10575,C1737,06-01-2025,Cancelled
O10576,C1188,06-01-2025,Placed
O10577,C1536,06-01-2025,Placed
O10578,C1859,06-01-2025,Placed
O10579,C1967,06-01-2025,Placed
O10580,C1782,06-01-2025,Placed
O10581,C1422,06-01-2025,Shipped
O10582,C1862,06-01-2025,Shipped
O10583,C1069,06-01-2025,Shipped
O10584,C1009,06-01-2025,Shipped
O10585,C1517,06-01-2025,Cancelled
O10586,C1382,06-01-2025,Placed
O10587,C1632,06-01-2025,Cancelled
O10588,C1675,06-01-2025,Cancelled
O10589,C1016,06-01-2025,Placed
O10590,C1544,06-01-2025,Cancelled
O10591,C1012,06-01-2025,Placed
O10592,C1542,06-01-2025,Delivered
O10593,C1548,06-01-2025,Delivered
O10594,C1017,06-01-2025,Cancelled
O10595,C1825,06-01-2025,Shipped
O10596,C1109,06-01-2025,Placed
O10597,C1536,06-01-2025,Shipped
O10598,C1246,06-01-2025,Shipped
O10599,C1634,06-01-2025,Delivered
O10600,C1834,06-01-2025,Delivered
O10601,C1273,06-01-2025,Cancelled
O10602,C1080,06-01-2025,Delivered
O10603,C1982,06-01-2025,Cancelled
O10604,C1470,06-01-2025,Shipped
O10605,C1713,06-01-2025,Shipped
O10606,C1307,06-01-2025,Placed
O10607,C1669,06-01-2025,Placed
O10608,C1095,06-01-2025,Cancelled
O10609,C1388,06-01-2025,Cancelled
O10610,C1565,06-01-2025,Cancelled
O10611,C1057,06-01-2025,Placed
O10612,C1719,06-01-2025,Shipped
O10613,C1084,06-01-2025,Cancelled
O10614,C1865,06-01-2025,Cancelled
O10615,C1660,06-01-2025,Delivered
O10616,C1579,06-01-2025,Placed
O10617,C1235,07-01-2025,Shipped
O10618,C1922,07-01-2025,Cancelled
O10619,C1277,07-01-2025,Placed
O10620,C1946,07-01-2025,Placed
O10621,C1700,07-01-2025,Delivered
O10622,C1920,07-01-2025,Placed
O10623,C1183,07-01-2025,Delivered
O10624,C1016,07-01-2025,Shipped
O10625,C1601,07-01-2025,Shipped
O10626,C1770,07-01-2025,Cancelled
O10627,C1951,07-01-2025,Placed
O10628,C1306,07-01-2025,Shipped
O10629,C1577,07-01-2025,Shipped
O10630,C1580,07-01-2025,Cancelled
O10631,C1693,07-01-2025,Delivered
O10632,C1393,07-01-2025,Shipped
O10633,C1809,07-01-2025,Placed
O10634,C1512,07-01-2025,Delivered
O10635,C1054,07-01-2025,Placed
O10636,C1447,07-01-2025,Shipped
O10637,C1858,07-01-2025,Placed
O10638,C1348,07-01-2025,Cancelled
O10639,C1992,07-01-2025,Delivered
O10640,C1030,07-01-2025,Delivered
O10641,C1802,07-01-2025,Cancelled
O10642,C1502,07-01-2025,Shipped
O10643,C1364,07-01-2025,Cancelled
O10644,C1442,07-01-2025,Shipped
O10645,C1696,07-01-2025,Cancelled
O10646,C1087,07-01-2025,Delivered
O10647,C1730,08-01-2025,Placed
O10648,C1084,08-01-2025,Delivered
O10649,C1157,08-01-2025,Cancelled
O10650,C1728,08-01-2025,Shipped
O10651,C1757,08-01-2025,
O10652,C1324,08-01-2025,Delivered
O10653,C1109,08-01-2025,Placed
O10654,C1005,08-01-2025,Delivered
O10655,C1455,08-01-2025,Delivered
O10656,C1779,08-01-2025,Delivered
O10657,C1104,08-01-2025,Shipped
O10658,C1089,08-01-2025,Shipped
O10659,C1441,08-01-2025,Cancelled
O10660,C1570,08-01-2025,Cancelled
O10661,C1105,08-01-2025,Placed
O10662,C1091,08-01-2025,Delivered
O10663,C1567,08-01-2025,Placed
O10664,C1611,08-01-2025,Delivered
O10665,C1884,08-01-2025,Cancelled
O10666,C1012,08-01-2025,Delivered
O10667,C1423,08-01-2025,
O10668,C1797,08-01-2025,Placed
O10669,C1742,08-01-2025,Shipped
O10670,C1585,08-01-2025,Shipped
O10671,C1701,08-01-2025,Cancelled
O10672,C1173,08-01-2025,Shipped
O10673,C1275,08-01-2025,Delivered
O10674,C1274,08-01-2025,Cancelled
O10675,C1149,08-01-2025,Placed
O10676,C1171,08-01-2025,Cancelled
O10677,C1282,08-01-2025,Cancelled
O10678,C1306,08-01-2025,Cancelled
O10679,C1801,08-01-2025,Placed
O10680,C1369,08-01-2025,Delivered
O10681,C1966,08-01-2025,Shipped
O10682,C1738,08-01-2025,Cancelled
O10683,C1608,08-01-2025,Shipped
O10684,C1468,08-01-2025,Placed
O10685,C1138,08-01-2025,Delivered
O10686,C1006,08-01-2025,Cancelled
O10687,C1340,08-01-2025,Cancelled
O10688,C1823,08-01-2025,Delivered
O10689,C1450,08-01-2025,Delivered
O10690,C1440,08-01-2025,Shipped
O10691,C1307,08-01-2025,Delivered
O10692,C1617,08-01-2025,Shipped
O10693,C1490,08-01-2025,Delivered
O10694,C1181,08-01-2025,Cancelled
O10695,C1991,08-01-2025,Delivered
O10696,C1298,08-01-2025,Cancelled
O10697,C1990,08-01-2025,Shipped
O10698,C1333,08-01-2025,Cancelled
O10699,C1287,08-01-2025,Cancelled
O10700,C1373,08-01-2025,Placed
