order_id,ship_date,delivery_date,delivery_status,courier
O10175,2025-01-03,2025-01-06,On Time,FedEx
O10180,2025-01-05,2025-01-08,Late,FedEx
O10184,2025-01-05,2025-01-08,On Time,Amazon Logistics
O10187,2025-01-05,2025-01-07,On Time,FedEx
O10188,2025-01-03,,On Time,Amazon Logistics
O10189,2025-01-03,2025-01-08,On Time,UPS
O10192,2025-01-05,2025-01-09,Late,FedEx
O10194,2025-01-04,2025-01-07,Late,DHL
O10197,2025-01-04,2025-01-08,Late,FedEx
O10198,2025-01-05,,On Time,DHL
O10199,2025-01-05,2025-01-09,On Time,DHL
O10200,2025-01-04,,Late,FedEx
O10202,2025-01-04,2025-01-06,Late,Amazon Logistics
O10205,2025-01-05,2025-01-08,Late,FedEx
O10207,2025-01-03,2025-01-06,Late,Amazon Logistics
O10211,2025-01-05,,Late,FedEx
O10213,2025-01-03,2025-01-06,On Time,Amazon Logistics
O10214,2025-01-03,2025-01-06,On Time,FedEx
O10216,2025-01-03,2025-01-05,Late,UPS
O10217,2025-01-03,2025-01-07,Late,FedEx
O10218,2025-01-03,2025-01-08,Late,FedEx
O10219,2025-01-04,2025-01-06,On Time,FedEx
O10220,2025-01-04,2025-01-06,On Time,FedEx
O10222,2025-01-05,2025-01-07,Late,FedEx
O10224,2025-01-04,2025-01-07,Late,UPS
O10225,2025-01-04,2025-01-06,On Time,FedEx
O10226,2025-01-05,2025-01-10,On Time,UPS
O10228,2025-01-04,2025-01-08,Late,FedEx
O10233,2025-01-06,2025-01-08,On Time,UPS
O10236,2025-01-06,2025-01-08,On Time,UPS
O10237,2025-01-06,2025-01-09,Late,UPS
O10238,2025-01-05,2025-01-07,Late,DHL
O10241,2025-01-04,2025-01-07,Late,DHL
O10242,2025-01-05,2025-01-07,Late,Amazon Logistics
O10243,2025-01-04,2025-01-08,On Time,Amazon Logistics
O10244,2025-01-06,2025-01-09,Late,Amazon Logistics
O10245,2025-01-04,2025-01-06,On Time,DHL
O10247,2025-01-05,2025-01-07,Late,DHL
O10248,2025-01-05,2025-01-09,Late,DHL
O10249,2025-01-05,,On Time,Amazon Logistics
O10251,2025-01-05,2025-01-08,On Time,DHL
O10252,2025-01-04,2025-01-06,Late,UPS
O10253,2025-01-05,2025-01-07,Late,FedEx
O10257,2025-01-05,2025-01-10,Late,UPS
O10258,2025-01-06,2025-01-10,On Time,Amazon Logistics
O10261,2025-01-05,2025-01-10,Late,DHL
O10262,2025-01-04,2025-01-06,Late,UPS
O10263,2025-01-06,,Late,Amazon Logistics
O10269,2025-01-04,2025-01-07,Late,FedEx
O10270,2025-01-04,2025-01-09,On Time,UPS
O10271,2025-01-05,2025-01-09,On Time,Amazon Logistics
O10272,2025-01-06,2025-01-10,Late,FedEx
O10274,2025-01-05,2025-01-09,Late,DHL
O10276,2025-01-05,2025-01-09,On Time,UPS
O10279,2025-01-04,2025-01-06,Late,DHL
O10283,2025-01-06,2025-01-11,On Time,Amazon Logistics
O10284,2025-01-05,2025-01-08,Late,DHL
O10285,2025-01-06,2025-01-09,On Time,UPS
O10286,2025-01-05,2025-01-10,Late,FedEx
O10288,2025-01-04,2025-01-09,Late,DHL
O10292,2025-01-06,,Late,UPS
O10293,2025-01-06,2025-01-09,On Time,Amazon Logistics
O10299,2025-01-05,2025-01-07,On Time,UPS
O10300,2025-01-06,2025-01-10,On Time,UPS
O10301,2025-01-06,2025-01-08,On Time,DHL
O10305,2025-01-06,2025-01-10,On Time,DHL
O10306,2025-01-05,2025-01-09,Late,Amazon Logistics
O10309,2025-01-05,2025-01-08,On Time,UPS
O10312,2025-01-04,2025-01-09,Late,FedEx
O10313,2025-01-05,2025-01-10,On Time,Amazon Logistics
O10314,2025-01-05,2025-01-10,On Time,Amazon Logistics
O10315,2025-01-06,2025-01-11,Late,Amazon Logistics
O10319,2025-01-04,2025-01-09,On Time,DHL
O10322,2025-01-04,2025-01-06,On Time,DHL
O10323,2025-01-04,2025-01-09,Late,Amazon Logistics
O10325,2025-01-04,2025-01-07,Late,Amazon Logistics
O10326,2025-01-05,,On Time,DHL
O10328,2025-01-04,2025-01-07,On Time,Amazon Logistics
O10330,2025-01-05,2025-01-10,On Time,FedEx
O10332,2025-01-06,2025-01-10,Late,Amazon Logistics
O10335,2025-01-05,2025-01-09,Late,Amazon Logistics
O10339,2025-01-05,2025-01-10,On Time,FedEx
O10342,2025-01-04,2025-01-09,On Time,FedEx
O10343,2025-01-04,2025-01-07,On Time,DHL
O10344,2025-01-05,2025-01-09,On Time,FedEx
O10347,2025-01-05,2025-01-10,Late,FedEx
O10348,2025-01-06,2025-01-09,Late,FedEx
O10349,2025-01-05,2025-01-08,On Time,DHL
O10352,2025-01-05,2025-01-07,On Time,DHL
O10353,2025-01-05,2025-01-07,Late,Amazon Logistics
O10354,2025-01-06,2025-01-10,On Time,UPS
O10355,2025-01-04,,Late,FedEx
O10357,2025-01-06,2025-01-11,Late,Amazon Logistics
O10358,2025-01-04,2025-01-06,On Time,UPS
O10359,2025-01-05,2025-01-07,Late,Amazon Logistics
O10360,2025-01-04,2025-01-09,On Time,Amazon Logistics
O10361,2025-01-05,,On Time,DHL
O10364,2025-01-05,2025-01-10,Late,FedEx
O10368,2025-01-05,2025-01-09,On Time,Amazon Logistics
O10369,2025-01-06,2025-01-11,Late,Amazon Logistics
O10373,2025-01-06,2025-01-09,Late,Amazon Logistics
O10375,2025-01-06,2025-01-08,Late,FedEx
O10376,2025-01-06,2025-01-10,On Time,DHL
O10377,2025-01-06,2025-01-08,Late,FedEx
O10379,2025-01-07,,On Time,UPS
O10381,2025-01-05,2025-01-07,Late,FedEx
O10382,2025-01-05,2025-01-09,Late,UPS
O10384,2025-01-05,2025-01-07,Late,Amazon Logistics
O10386,2025-01-07,2025-01-10,Late,FedEx
O10387,2025-01-07,2025-01-10,Late,FedEx
O10389,2025-01-05,2025-01-10,Late,Amazon Logistics
O10390,2025-01-07,2025-01-10,On Time,DHL
O10391,2025-01-06,2025-01-09,On Time,Amazon Logistics
O10394,2025-01-05,2025-01-07,Late,Amazon Logistics
O10396,2025-01-07,2025-01-12,Late,DHL
O10397,2025-01-07,2025-01-09,On Time,Amazon Logistics
O10401,2025-01-06,2025-01-09,Late,DHL
O10403,2025-01-07,2025-01-10,On Time,Amazon Logistics
O10405,2025-01-05,2025-01-07,Late,DHL
O10408,2025-01-07,2025-01-12,On Time,UPS
O10410,2025-01-05,2025-01-10,Late,DHL
O10412,2025-01-06,2025-01-09,Late,UPS
O10414,2025-01-07,2025-01-12,Late,FedEx
O10415,2025-01-06,2025-01-09,Late,UPS
O10416,2025-01-06,2025-01-09,Late,UPS
O10417,2025-01-06,2025-01-09,Late,DHL
O10418,2025-01-05,2025-01-10,Late,UPS
O10421,2025-01-07,2025-01-12,Late,DHL
O10424,2025-01-06,2025-01-08,On Time,UPS
O10425,2025-01-05,2025-01-09,Late,DHL
O10426,2025-01-07,2025-01-10,Late,Amazon Logistics
O10427,2025-01-05,2025-01-09,Late,DHL
O10428,2025-01-06,2025-01-09,On Time,UPS
O10429,2025-01-07,2025-01-11,On Time,Amazon Logistics
O10430,2025-01-07,2025-01-09,Late,DHL
O10432,2025-01-06,2025-01-10,Late,Amazon Logistics
O10433,2025-01-06,2025-01-09,On Time,UPS
O10435,2025-01-06,2025-01-10,Late,DHL
O10437,2025-01-07,2025-01-11,On Time,UPS
O10439,2025-01-07,2025-01-12,Late,DHL
O10440,2025-01-06,2025-01-11,On Time,FedEx
O10441,2025-01-05,2025-01-08,On Time,UPS
O10442,2025-01-05,2025-01-08,On Time,UPS
O10443,2025-01-05,2025-01-09,On Time,UPS
O10445,2025-01-07,2025-01-11,On Time,Amazon Logistics
O10446,2025-01-07,2025-01-10,Late,FedEx
O10449,2025-01-05,2025-01-07,On Time,UPS
O10451,2025-01-07,2025-01-10,Late,UPS
O10452,2025-01-06,2025-01-09,Late,Amazon Logistics
O10453,2025-01-07,2025-01-11,On Time,FedEx
O10455,2025-01-07,2025-01-10,Late,UPS
O10459,2025-01-07,2025-01-12,Late,DHL
O10463,2025-01-07,2025-01-10,Late,Amazon Logistics
O10464,2025-01-08,2025-01-11,On Time,Amazon Logistics
O10466,2025-01-08,2025-01-10,On Time,FedEx
O10473,2025-01-07,,Late,DHL
O10474,2025-01-06,2025-01-10,On Time,UPS
O10475,2025-01-08,2025-01-11,Late,Amazon Logistics
O10480,2025-01-08,2025-01-12,Late,FedEx
O10481,2025-01-06,2025-01-08,Late,FedEx
O10482,2025-01-08,2025-01-11,On Time,DHL
O10484,2025-01-08,2025-01-13,On Time,FedEx
O10485,2025-01-08,2025-01-12,Late,Amazon Logistics
O10490,2025-01-09,2025-01-14,On Time,UPS
O10492,2025-01-07,2025-01-10,Late,FedEx
O10493,2025-01-09,2025-01-14,Late,Amazon Logistics
O10497,2025-01-09,2025-01-13,On Time,FedEx
O10503,2025-01-07,2025-01-10,Late,UPS
O10505,2025-01-07,,Late,Amazon Logistics
O10506,2025-01-09,,On Time,UPS
O10507,2025-01-07,2025-01-11,Late,Amazon Logistics
O10508,2025-01-07,2025-01-11,On Time,UPS
O10509,2025-01-07,,On Time,FedEx
O10510,2025-01-08,,On Time,FedEx
O10511,2025-01-08,2025-01-13,Late,Amazon Logistics
O10513,2025-01-09,2025-01-14,On Time,FedEx
O10516,2025-01-07,2025-01-10,Late,UPS
O10518,2025-01-07,2025-01-10,On Time,FedEx
O10520,2025-01-07,2025-01-10,Late,FedEx
O10523,2025-01-07,2025-01-10,Late,UPS
O10524,2025-01-09,2025-01-11,Late,FedEx
O10529,2025-01-09,2025-01-14,On Time,DHL
O10530,2025-01-07,2025-01-11,On Time,FedEx
O10531,2025-01-07,2025-01-10,Late,Amazon Logistics
O10534,2025-01-09,2025-01-12,On Time,FedEx
O10535,2025-01-08,2025-01-13,On Time,DHL
O10536,2025-01-08,,On Time,DHL
O10539,2025-01-09,2025-01-13,On Time,DHL
O10540,2025-01-09,2025-01-12,On Time,UPS
O10541,2025-01-08,2025-01-13,Late,UPS
O10543,2025-01-08,2025-01-12,Late,DHL
O10546,2025-01-08,2025-01-11,Late,UPS
O10547,2025-01-07,2025-01-09,On Time,DHL
O10548,2025-01-09,2025-01-14,Late,Amazon Logistics
O10549,2025-01-09,2025-01-14,Late,FedEx
O10550,2025-01-07,2025-01-10,On Time,FedEx
O10552,2025-01-08,2025-01-12,Late,UPS
O10553,2025-01-07,2025-01-09,Late,Amazon Logistics
O10557,2025-01-09,2025-01-11,Late,DHL
O10558,2025-01-08,2025-01-13,Late,FedEx
O10559,2025-01-09,2025-01-13,Late,FedEx
O10561,2025-01-08,2025-01-12,On Time,Amazon Logistics
O10562,2025-01-09,2025-01-12,On Time,FedEx
O10563,2025-01-07,2025-01-09,On Time,UPS
O10565,2025-01-09,2025-01-14,On Time,Amazon Logistics
O10566,2025-01-09,,On Time,FedEx
O10568,2025-01-09,2025-01-13,Late,Amazon Logistics
O10569,2025-01-08,2025-01-12,Late,Amazon Logistics
O10572,2025-01-08,2025-01-13,On Time,FedEx
O10573,2025-01-09,2025-01-14,Late,UPS
O10574,2025-01-09,2025-01-11,Late,UPS
O10581,2025-01-08,2025-01-10,On Time,DHL
O10582,2025-01-08,2025-01-12,Late,DHL
O10583,2025-01-08,2025-01-13,On Time,DHL
O10584,2025-01-07,,Late,Amazon Logistics
O10592,2025-01-07,2025-01-09,On Time,UPS
O10593,2025-01-09,2025-01-13,On Time,DHL
O10595,2025-01-07,2025-01-11,On Time,DHL
O10597,2025-01-07,2025-01-09,Late,FedEx
O10598,2025-01-09,2025-01-12,On Time,Amazon Logistics
O10599,2025-01-09,,Late,UPS
O10600,2025-01-09,2025-01-14,Late,Amazon Logistics
O10602,2025-01-08,2025-01-11,Late,FedEx
O10604,2025-01-07,2025-01-09,On Time,DHL
O10605,2025-01-07,2025-01-12,Late,DHL
O10612,2025-01-07,,Late,FedEx
O10615,2025-01-09,2025-01-12,On Time,FedEx
O10617,2025-01-09,2025-01-13,On Time,UPS
O10621,2025-01-08,2025-01-13,Late,FedEx
O10623,2025-01-09,,Late,UPS
O10624,2025-01-08,2025-01-12,Late,Amazon Logistics
O10625,2025-01-09,2025-01-14,On Time,UPS
O10628,2025-01-10,2025-01-13,On Time,Amazon Logistics
O10629,2025-01-09,2025-01-12,Late,UPS
O10631,2025-01-10,,On Time,DHL
O10632,2025-01-08,2025-01-13,On Time,UPS
O10634,2025-01-10,2025-01-12,On Time,FedEx
O10636,2025-01-08,2025-01-10,On Time,Amazon Logistics
O10639,2025-01-10,2025-01-15,On Time,UPS
O10640,2025-01-09,2025-01-12,On Time,DHL
O10642,2025-01-10,2025-01-13,On Time,Amazon Logistics
O10644,2025-01-10,2025-01-13,On Time,UPS
O10646,2025-01-10,2025-01-13,Late,FedEx
O10648,2025-01-09,2025-01-12,Late,UPS
O10650,2025-01-10,2025-01-14,On Time,FedEx
O10652,2025-01-10,2025-01-14,On Time,FedEx
O10654,2025-01-11,2025-01-16,On Time,FedEx
O10655,2025-01-09,2025-01-12,On Time,FedEx
O10656,2025-01-09,2025-01-14,Late,DHL
O10657,2025-01-10,2025-01-15,Late,UPS
O10658,2025-01-10,2025-01-12,Late,UPS
O10662,2025-01-11,2025-01-16,On Time,DHL
O10664,2025-01-09,2025-01-12,Late,UPS
O10666,2025-01-10,2025-01-14,On Time,FedEx
O10669,2025-01-11,2025-01-14,On Time,DHL
O10670,2025-01-11,2025-01-13,On Time,FedEx
O10672,2025-01-09,2025-01-11,On Time,DHL
O10673,2025-01-11,2025-01-16,Late,FedEx
O10680,2025-01-09,2025-01-11,Late,Amazon Logistics
O10681,2025-01-09,2025-01-12,Late,DHL
O10683,2025-01-11,2025-01-13,On Time,UPS
O10685,2025-01-10,2025-01-14,On Time,Amazon Logistics
O10688,2025-01-11,2025-01-16,On Time,DHL
O10689,2025-01-11,2025-01-13,Late,UPS
O10690,2025-01-09,2025-01-11,On Time,Amazon Logistics
O10691,2025-01-10,2025-01-13,On Time,FedEx
O10692,2025-01-10,,Late,FedEx
O10693,2025-01-11,,Late,DHL
O10695,2025-01-10,2025-01-14,Late,DHL
O10697,2025-01-09,2025-01-14,Late,Amazon Logistics
O10701,2025-01-11,2025-01-16,On Time,UPS
O10702,2025-01-09,2025-01-13,On Time,DHL
O10705,2025-01-10,2025-01-13,Late,UPS
O10706,2025-01-10,2025-01-14,Late,DHL
O10710,2025-01-11,,On Time,Amazon Logistics
O10711,2025-01-11,2025-01-16,On Time,DHL
O10712,2025-01-11,2025-01-14,Late,FedEx
O10720,2025-01-09,2025-01-14,Late,Amazon Logistics
O10722,2025-01-09,2025-01-14,On Time,Amazon Logistics
O10723,2025-01-10,,On Time,DHL
O10726,2025-01-10,2025-01-15,Late,Amazon Logistics
O10729,2025-01-10,2025-01-15,On Time,DHL
O10730,2025-01-11,2025-01-13,Late,DHL
O10731,2025-01-11,2025-01-16,Late,UPS
O10733,2025-01-10,2025-01-13,Late,Amazon Logistics
O10738,2025-01-12,2025-01-17,Late,DHL
O10739,2025-01-12,2025-01-14,On Time,DHL
O10741,2025-01-10,2025-01-14,On Time,FedEx
O10749,2025-01-10,2025-01-13,On Time,FedEx
O10751,2025-01-10,2025-01-12,Late,UPS
O10752,2025-01-10,2025-01-12,On Time,Amazon Logistics
O10753,2025-01-12,,On Time,UPS
O10754,2025-01-12,2025-01-17,Late,UPS
O10758,2025-01-10,2025-01-15,Late,DHL
O10761,2025-01-12,2025-01-16,On Time,Amazon Logistics
O10764,2025-01-11,2025-01-13,Late,UPS
O10765,2025-01-12,2025-01-14,Late,UPS
O10768,2025-01-10,2025-01-14,Late,Amazon Logistics
O10769,2025-01-12,2025-01-16,On Time,DHL
O10771,2025-01-10,2025-01-14,Late,FedEx
O10773,2025-01-10,2025-01-14,Late,DHL
O10777,2025-01-12,2025-01-17,Late,DHL
O10779,2025-01-10,2025-01-12,Late,UPS
O10780,2025-01-12,2025-01-15,Late,UPS
O10782,2025-01-10,2025-01-12,On Time,Amazon Logistics
O10784,2025-01-11,2025-01-16,On Time,DHL
O10785,2025-01-12,2025-01-14,Late,UPS
O10786,2025-01-10,,On Time,FedEx
O10788,2025-01-12,2025-01-17,On Time,UPS
O10790,2025-01-12,2025-01-17,On Time,FedEx
O10791,2025-01-10,2025-01-14,On Time,Amazon Logistics
O10792,2025-01-10,2025-01-13,On Time,UPS
O10793,2025-01-12,2025-01-15,On Time,UPS
O10794,2025-01-10,2025-01-14,Late,UPS
O10797,2025-01-10,2025-01-13,On Time,FedEx
O10799,2025-01-11,2025-01-14,Late,Amazon Logistics
O10804,2025-01-10,2025-01-12,Late,Amazon Logistics
O10807,2025-01-12,2025-01-15,Late,DHL
O10808,2025-01-12,2025-01-17,On Time,DHL
O10813,2025-01-11,2025-01-16,On Time,FedEx
O10816,2025-01-11,2025-01-14,Late,FedEx
O10818,2025-01-11,2025-01-13,Late,UPS
O10820,2025-01-13,2025-01-16,Late,FedEx
O10823,2025-01-11,2025-01-13,On Time,FedEx
O10824,2025-01-13,2025-01-15,On Time,UPS
O10826,2025-01-11,2025-01-16,On Time,Amazon Logistics
O10827,2025-01-13,2025-01-15,Late,DHL
O10828,2025-01-13,2025-01-16,On Time,DHL
O10830,2025-01-11,2025-01-14,Late,UPS
O10831,2025-01-12,2025-01-14,On Time,DHL
O10832,2025-01-11,2025-01-16,On Time,Amazon Logistics
O10833,2025-01-11,2025-01-13,Late,FedEx
O10834,2025-01-12,2025-01-16,Late,Amazon Logistics
O10838,2025-01-11,2025-01-14,Late,Amazon Logistics
O10839,2025-01-12,2025-01-16,Late,Amazon Logistics
O10840,2025-01-11,,Late,DHL
O10841,2025-01-13,,On Time,DHL
O10842,2025-01-12,2025-01-16,Late,DHL
O10844,2025-01-13,2025-01-17,On Time,FedEx
O10845,2025-01-13,2025-01-15,Late,FedEx
O10849,2025-01-11,2025-01-15,Late,Amazon Logistics
O10850,2025-01-11,2025-01-15,Late,UPS
O10855,2025-01-11,2025-01-15,On Time,DHL
O10859,2025-01-12,2025-01-15,On Time,Amazon Logistics
O10860,2025-01-12,2025-01-17,Late,Amazon Logistics
O10861,2025-01-13,2025-01-17,On Time,Amazon Logistics
O10862,2025-01-12,2025-01-16,Late,Amazon Logistics
O10864,2025-01-13,2025-01-16,On Time,UPS
O10869,2025-01-12,2025-01-17,On Time,DHL
O10872,2025-01-12,2025-01-17,Late,FedEx
O10873,2025-01-13,2025-01-18,On Time,UPS
O10874,2025-01-12,2025-01-14,On Time,FedEx
O10875,2025-01-13,2025-01-15,On Time,UPS
O10877,2025-01-11,2025-01-15,On Time,Amazon Logistics
O10879,2025-01-12,,On Time,FedEx
O10880,2025-01-11,2025-01-13,Late,FedEx
O10882,2025-01-14,2025-01-17,On Time,Amazon Logistics
O10884,2025-01-13,2025-01-16,On Time,FedEx
O10887,2025-01-12,2025-01-14,Late,Amazon Logistics
O10890,2025-01-14,2025-01-19,On Time,FedEx
O10894,2025-01-14,2025-01-18,Late,FedEx
O10895,2025-01-14,2025-01-16,On Time,FedEx
O10897,2025-01-12,2025-01-16,On Time,FedEx
O10898,2025-01-13,2025-01-17,Late,Amazon Logistics
O10900,2025-01-14,2025-01-19,On Time,Amazon Logistics
O10901,2025-01-12,2025-01-17,Late,Amazon Logistics
O10902,2025-01-14,2025-01-16,Late,UPS
O10903,2025-01-12,,On Time,UPS
O10906,2025-01-12,2025-01-15,On Time,DHL
O10911,2025-01-14,,On Time,DHL
O10912,2025-01-12,,On Time,UPS
O10914,2025-01-14,,Late,DHL
O10916,2025-01-12,2025-01-14,On Time,Amazon Logistics
O10917,2025-01-12,2025-01-14,Late,DHL
O10920,2025-01-12,2025-01-16,Late,FedEx
O10922,2025-01-13,2025-01-18,On Time,UPS
O10925,2025-01-13,2025-01-16,On Time,Amazon Logistics
O10927,2025-01-14,2025-01-16,Late,FedEx
O10931,2025-01-14,2025-01-19,On Time,DHL
O10935,2025-01-15,2025-01-17,Late,UPS
O10938,2025-01-15,2025-01-18,On Time,FedEx
O10941,2025-01-13,2025-01-16,Late,FedEx
O10942,2025-01-15,2025-01-20,On Time,DHL
O10943,2025-01-14,2025-01-18,Late,FedEx
O10946,2025-01-14,2025-01-18,On Time,DHL
O10947,2025-01-15,2025-01-19,Late,DHL
O10951,2025-01-14,2025-01-16,On Time,Amazon Logistics
O10953,2025-01-15,2025-01-18,On Time,DHL
O10956,2025-01-15,2025-01-20,On Time,UPS
O10957,2025-01-15,2025-01-17,Late,DHL
O10958,2025-01-14,,Late,FedEx
O10959,2025-01-14,2025-01-17,Late,Amazon Logistics
O10966,2025-01-13,2025-01-18,Late,UPS
O10968,2025-01-14,2025-01-16,Late,UPS
O10969,2025-01-14,2025-01-18,Late,FedEx
O10975,2025-01-13,2025-01-16,Late,FedEx
O10976,2025-01-15,2025-01-18,On Time,FedEx
O10979,2025-01-14,2025-01-17,On Time,Amazon Logistics
O10980,2025-01-14,2025-01-17,Late,Amazon Logistics
O10982,2025-01-16,2025-01-18,On Time,UPS
O10984,2025-01-15,2025-01-18,Late,UPS
O10988,2025-01-14,,On Time,Amazon Logistics
O10989,2025-01-15,2025-01-18,Late,DHL
O10992,2025-01-16,2025-01-20,On Time,UPS
O10993,2025-01-15,2025-01-19,On Time,FedEx
O10994,2025-01-15,2025-01-19,Late,FedEx
O10995,2025-01-15,2025-01-19,On Time,UPS
O10996,2025-01-16,2025-01-18,Late,FedEx
O10998,2025-01-16,2025-01-19,Late,DHL
O10999,2025-01-15,2025-01-20,Late,FedEx
O11002,2025-01-14,2025-01-19,Late,DHL
O11003,2025-01-14,,Late,FedEx
O11005,2025-01-16,2025-01-19,On Time,FedEx
O11007,2025-01-14,2025-01-16,Late,UPS
O11008,2025-01-14,,On Time,FedEx
O11009,2025-01-15,2025-01-20,On Time,FedEx
O11012,2025-01-15,2025-01-17,Late,UPS
O11013,2025-01-15,2025-01-19,Late,FedEx
O11015,2025-01-14,2025-01-17,Late,FedEx
O11017,2025-01-15,2025-01-18,Late,FedEx
O11020,2025-01-16,2025-01-21,Late,FedEx
O11023,2025-01-16,2025-01-19,On Time,Amazon Logistics
O11024,2025-01-16,2025-01-19,On Time,FedEx
O11025,2025-01-15,2025-01-19,On Time,DHL
O11027,2025-01-15,2025-01-18,On Time,DHL
O11029,2025-01-14,2025-01-16,On Time,DHL
O11030,2025-01-15,2025-01-17,On Time,Amazon Logistics
O11034,2025-01-14,2025-01-16,On Time,FedEx
O11036,2025-01-16,2025-01-21,Late,UPS
O11037,2025-01-16,,Late,FedEx
O11038,2025-01-14,2025-01-16,Late,UPS
O11039,2025-01-15,2025-01-20,Late,Amazon Logistics
O11041,2025-01-14,2025-01-16,Late,DHL
O11042,2025-01-16,2025-01-19,On Time,Amazon Logistics
O11044,2025-01-16,2025-01-19,On Time,Amazon Logistics
O11046,2025-01-15,2025-01-19,On Time,Amazon Logistics
O11047,2025-01-15,2025-01-18,On Time,FedEx
O11049,2025-01-15,2025-01-17,On Time,UPS
O11050,2025-01-14,2025-01-17,Late,FedEx
O11053,2025-01-14,2025-01-17,Late,UPS
O11055,2025-01-15,,On Time,FedEx
O11057,2025-01-16,2025-01-20,On Time,FedEx
