order_id,product_id,quantity,unit_price,total_price,discount
O11464,P1250,1,165.47,137.34,0.17
O10931,P1236,1,268.43,220.11,
O19655,P1220,1,296.13,284.28,0.04
O18623,P1049,2,41.29,71.84,0.13
O11080,P1183,5,272.55,981.18,0.28
O18536,P1094,1,80.14,68.92,0.14
O21913,P1129,1,38.18,37.8,0.01
O23263,P1154,3,88.54,225.78,0.15
O23985,P1057,1,262.72,207.55,0.21
O12842,P1220,2,296.13,527.11,0.11
O15503,P1190,3,212.05,566.17,0.11
O11056,P1069,3,291.82,857.95,0.02
O18908,P1277,2,127.01,215.92,0.15
O20239,P1183,1,272.55,196.24,0.28
O20184,P1226,2,272.84,463.83,0.15
O10808,P1270,3,185.79,496.06,0.11
O21571,P1064,2,158.12,275.13,0.13
O20376,P1049,5,41.29,158.97,0.23
O16834,P1207,5,140.05,553.2,0.21
O11450,P1244,2,268.18,504.18,0.06
O22620,P1161,5,91.18,451.34,0.01
O16453,P1285,2,237.26,446.05,0.06
O18745,P1238,1,170.62,136.5,0.2
O18386,P1193,1,61.46,47.32,0.23
O12299,P1292,2,79.64,148.13,0.07
O21049,P1178,5,179.87,710.49,0.21
O18518,P1015,1,59.45,49.94,0.16
O15714,P1080,3,193.37,522.1,0.1
O22776,P1209,5,228.19,855.71,0.25
O24649,P1132,3,224.82,647.48,0.04
O22600,P1257,5,17.65,84.72,0.04
O23874,P1264,1,260.77,213.83,0.18
O24283,P1280,3,71.76,170.07,0.21
O21760,P1013,2,159.13,302.35,0.05
O11206,P1039,1,43.6,31.83,0.27
O10595,P1267,3,283.98,758.23,0.11
O21155,P1125,2,121.68,240.93,0.01
O21048,P1109,2,256.27,415.16,0.19
O10137,P1124,5,257.37,978.01,0.24
O18146,P1267,2,283.98,488.45,0.14
O19906,P1191,5,264.47,938.87,0.29
O20137,P1258,3,245.06,610.2,0.17
O12285,P1267,1,283.98,249.9,0.12
O19137,P1282,1,181.08,152.11,0.16
O22238,P1235,3,291.26,847.57,0.03
O12292,P1206,5,176.3,810.98,0.08
O19935,P1061,2,41.92,77.13,0.08
O17772,P1208,5,105.31,494.96,0.06
O22016,P1143,3,167.37,406.71,0.19
O20610,P1097,1,111.27,99.03,0.11
O22410,P1278,1,18.35,17.8,0.03
O16644,P1136,5,274.84,1278.01,0.07
O16998,P1299,5,21.85,103.79,0.05
O21306,P1271,1,204.79,196.6,0.04
O18340,P1232,5,118.71,534.19,0.1
O17843,P1074,5,90.81,372.32,0.18
O24249,P1243,2,91.48,177.47,0.03
O20783,P1127,2,171.47,274.35,0.2
O16703,P1031,2,113.46,220.11,0.03
O17085,P1181,3,168.23,499.64,0.01
O10402,P1020,1,153.6,144.38,0.06
O21939,P1068,5,213.88,866.21,0.19
O24403,P1085,2,14.81,24.29,0.18
O17534,P1294,5,54.05,210.8,0.22
O12816,P1254,2,220.46,383.6,0.13
O13015,P1235,5,291.26,1325.23,0.09
O17082,P1182,5,121.97,487.88,0.2
O17272,P1275,1,257.13,246.84,
O19336,P1218,2,248.34,352.64,0.29
O17332,P1113,5,124.0,613.8,0.01
O11402,P1133,5,213.72,993.8,0.07
O23386,P1235,3,291.26,620.38,0.29
O12769,P1078,2,230.87,327.84,0.29
O19016,P1235,1,291.26,212.62,0.27
O17598,P1048,3,133.99,309.52,0.23
O19515,P1117,2,219.51,329.26,0.25
O23245,P1030,3,88.69,258.09,0.03
O19266,P1160,1,217.23,154.23,0.29
O12221,P1216,3,39.33,103.83,0.12
O15593,P1129,5,38.18,169.9,0.11
O17868,P1109,5,256.27,1127.59,0.12
O12495,P1095,5,270.19,1323.93,0.02
O15287,P1082,5,252.24,882.84,0.3
O16228,P1078,3,230.87,657.98,0.05
O10408,P1147,2,161.45,264.78,0.18
O19126,P1095,3,270.19,656.56,0.19
O22157,P1125,1,121.68,110.73,0.09
O15195,P1029,1,104.35,101.22,0.03
O11186,P1012,3,237.7,513.43,0.28
O12044,P1213,5,267.43,1176.69,0.12
O11791,P1289,5,84.89,352.29,0.17
O15401,P1269,5,47.46,177.98,0.25
O19034,P1060,2,269.87,474.97,0.12
O19366,P1083,1,64.09,49.99,0.22
O23483,P1224,2,34.22,58.17,0.15
O19670,P1012,3,237.7,541.96,0.24
O24211,P1199,5,228.82,961.04,0.16
O15749,P1168,1,214.06,175.53,0.18
O18755,P1089,5,49.88,241.92,0.03
O11315,P1132,1,224.82,197.84,0.12
O23787,P1019,3,137.64,293.17,0.29
O18611,P1113,5,124.0,471.2,0.24
O10645,P1089,1,49.88,42.4,0.15
O24303,P1152,3,293.0,861.42,0.02
O22679,P1063,1,259.61,184.32,0.29
O10071,P1089,2,49.88,72.82,0.27
O14290,P1061,3,41.92,96.84,0.23
O19738,P1124,2,257.37,375.76,0.27
O18566,P1090,5,42.91,171.64,0.2
O19194,P1244,5,268.18,1287.26,0.04
O15727,P1140,5,108.02,388.87,0.28
O10815,P1070,2,83.02,134.49,0.19
O20527,P1033,1,242.64,228.08,0.06
O22680,P1251,2,246.0,403.44,0.18
O19660,P1024,2,63.61,103.05,0.19
O10295,P1102,1,12.67,11.15,0.12
O11665,P1223,2,228.48,424.97,0.07
O15568,P1153,1,103.66,83.96,0.19
O11045,P1279,5,189.89,693.1,0.27
O23690,P1057,1,262.72,262.72,0.0
O18083,P1106,3,75.04,218.37,0.03
O12800,P1268,1,81.73,69.47,0.15
O16578,P1285,3,237.26,569.42,0.2
O12445,P1175,2,258.38,470.25,0.09
O12655,P1292,2,79.64,151.32,0.05
O23942,P1120,2,286.64,493.02,0.14
O16685,P1254,2,220.46,405.65,0.08
O23448,P1036,1,246.48,211.97,0.14
O20387,P1283,1,136.87,120.45,0.12
O16298,P1176,2,57.25,112.21,
O24523,P1044,1,146.94,146.94,0.0
O10223,P1085,5,14.81,72.57,0.02
O20468,P1084,2,181.36,268.41,0.26
O10324,P1149,2,34.75,55.6,0.2
O23310,P1025,3,234.79,655.06,0.07
O22869,P1257,2,17.65,33.89,0.04
O16306,P1197,5,279.92,1203.66,0.14
O12275,P1070,3,83.02,244.08,0.02
O21497,P1034,5,296.2,1051.51,0.29
O15955,P1054,2,32.32,62.05,0.04
O17693,P1212,3,169.36,497.92,0.02
O10407,P1137,3,155.44,359.07,0.23
O18107,P1198,1,134.41,98.12,0.27
O23217,P1082,3,252.24,552.41,0.27
O14998,P1084,5,181.36,906.8,0.0
O20868,P1137,3,155.44,326.42,0.3
O16684,P1180,5,196.55,746.89,0.24
O14189,P1036,1,246.48,214.44,0.13
O21802,P1212,5,169.36,643.57,0.24
O18892,P1170,5,147.31,574.51,0.22
O22926,P1225,2,171.94,247.59,0.28
O15929,P1228,3,145.91,332.67,0.24
O14147,P1189,3,91.74,261.46,0.05
O13585,P1047,3,153.2,395.26,0.14
O15411,P1060,1,269.87,264.47,0.02
O14598,P1205,5,285.52,1042.15,0.27
O20736,P1191,5,264.47,1018.21,0.23
O18994,P1038,5,31.47,143.19,0.09
O15798,P1093,2,171.01,307.82,0.1
O20915,P1049,3,41.29,95.38,0.23
O18301,P1200,2,271.74,456.52,0.16
O22886,P1025,3,234.79,640.98,0.09
O19200,P1135,2,244.93,421.28,0.14
O20835,P1122,3,279.21,728.74,0.13
O20730,P1156,5,289.17,1041.01,0.28
O20321,P1225,2,171.94,257.91,0.25
O24003,P1119,5,61.36,251.58,0.18
O23633,P1096,5,193.6,919.6,
O13536,P1081,5,165.37,760.7,0.08
O16416,P1105,3,210.65,524.52,0.17
O18480,P1135,3,244.93,521.7,0.29
O13937,P1060,2,269.87,399.41,0.26
O10480,P1142,5,20.42,88.83,0.13
O17745,P1041,3,28.43,81.03,0.05
O18593,P1157,5,211.83,836.73,0.21
O10074,P1110,3,174.81,451.01,0.14
O13992,P1064,2,158.12,268.8,0.15
O22667,P1062,5,133.86,562.21,0.16
O22639,P1253,2,248.54,452.34,0.09
O20762,P1141,3,37.25,98.34,0.12
O14927,P1165,2,229.78,422.8,0.08
O24274,P1208,5,105.31,410.71,0.22
O19782,P1121,3,117.35,264.04,0.25
O24197,P1077,1,80.2,74.59,0.07
O15833,P1044,1,146.94,130.78,0.11
O22503,P1027,3,277.34,748.82,0.1
O15228,P1145,1,20.83,19.16,0.08
O15917,P1222,1,284.7,241.99,0.15
O19762,P1188,2,16.75,27.8,0.17
O18716,P1130,3,297.12,730.92,0.18
O16568,P1160,5,217.23,1042.7,0.04
O12706,P1161,1,91.18,65.65,0.28
O10837,P1095,5,270.19,1040.23,0.23
O13228,P1078,3,230.87,588.72,0.15
O12821,P1210,2,238.99,463.64,0.03
O19292,P1202,1,269.7,199.58,0.26
O21418,P1180,5,196.55,963.1,0.02
O17320,P1177,2,196.3,298.38,0.24
O22096,P1036,5,246.48,1133.81,0.08
O12324,P1175,3,258.38,596.86,0.23
O14417,P1015,3,59.45,142.68,0.2
O20927,P1177,1,196.3,151.15,0.23
O13959,P1275,1,257.13,182.56,0.29
O11039,P1090,5,42.91,186.66,0.13
O12256,P1031,3,113.46,265.5,0.22
O19160,P1201,3,249.67,651.64,0.13
O11801,P1144,3,181.34,435.22,0.2
O10629,P1068,2,213.88,329.38,0.23
O21290,P1185,1,15.28,11.46,0.25
O14913,P1065,3,74.41,203.14,0.09
O10379,P1083,2,64.09,103.83,0.19
O19213,P1087,1,60.57,55.12,0.09
O15106,P1248,2,32.54,63.13,0.03
O15626,P1064,2,158.12,234.02,0.26
O24495,P1133,1,213.72,183.8,0.14
O12281,P1062,5,133.86,595.68,0.11
O19775,P1219,3,33.59,99.76,0.01
O22644,P1111,2,116.64,205.29,0.12
O23506,P1293,2,47.38,70.12,0.26
O22297,P1070,5,83.02,406.8,0.02
O20165,P1125,3,121.68,361.39,0.01
O13081,P1120,1,286.64,283.77,0.01
O23066,P1134,1,95.14,67.55,0.29
O11829,P1121,2,117.35,206.54,0.12
O13915,P1295,3,195.85,575.8,0.02
O19438,P1056,1,244.35,183.26,0.25
O14501,P1037,2,221.41,318.83,0.28
O16571,P1163,3,187.4,416.03,0.26
O13025,P1022,5,202.13,757.99,0.25
O23387,P1129,3,38.18,84.76,0.26
O12441,P1277,5,127.01,590.6,0.07
O23770,P1066,5,107.91,469.41,0.13
O13001,P1068,3,213.88,603.14,0.06
O11818,P1122,1,279.21,195.45,0.3
O18578,P1233,3,261.89,589.25,0.25
O18124,P1084,2,181.36,311.94,
O18659,P1162,2,223.99,349.42,0.22
O19076,P1280,3,71.76,185.14,0.14
O15710,P1235,3,291.26,690.29,0.21
O15606,P1028,1,66.84,62.83,0.06
O14252,P1275,5,257.13,1054.23,0.18
O10671,P1155,1,32.75,32.42,0.01
O19578,P1122,2,279.21,508.16,0.09
O15311,P1211,1,153.38,121.17,0.21
O11284,P1224,5,34.22,150.57,0.12
O20904,P1021,3,273.7,763.62,0.07
O15636,P1113,3,124.0,297.6,0.2
O15122,P1041,2,28.43,55.72,0.02
O21282,P1219,5,33.59,127.64,0.24
O21444,P1095,1,270.19,270.19,0.0
O22531,P1272,5,113.87,455.48,0.2
O12223,P1075,5,79.47,349.67,0.12
O13055,P1266,1,171.08,128.31,0.25
O16811,P1121,5,117.35,410.72,0.3
O13273,P1288,2,278.71,507.25,0.09
O17246,P1297,3,147.45,340.61,0.23
O16312,P1052,1,82.29,61.72,0.25
O23818,P1018,2,38.32,68.98,0.1
O23858,P1144,1,181.34,161.39,
O20941,P1265,3,299.92,737.8,0.18
O23606,P1066,5,107.91,523.36,0.03
O16136,P1022,5,202.13,939.9,0.07
O21782,P1270,2,185.79,371.58,0.0
O22469,P1254,5,220.46,903.89,0.18
O14216,P1144,1,181.34,134.19,0.26
O12847,P1020,5,153.6,568.32,0.26
O10470,P1203,3,13.14,30.35,0.23
O18613,P1162,1,223.99,188.15,0.16
O18374,P1293,5,47.38,172.94,0.27
O16426,P1004,2,215.34,374.69,0.13
O10231,P1076,1,151.94,141.3,0.07
O16945,P1095,2,270.19,480.94,0.11
O11373,P1036,5,246.48,887.33,0.28
O13940,P1048,1,133.99,115.23,0.14
O22944,P1187,2,102.5,196.8,0.04
O20132,P1099,3,236.16,538.44,0.24
O11208,P1067,5,103.73,503.09,0.03
O22201,P1215,5,230.84,992.61,0.14
O10971,P1081,3,165.37,451.46,0.09
O15498,P1162,1,223.99,217.27,0.03
O21669,P1184,3,30.11,65.94,0.27
O21814,P1085,2,14.81,29.03,
O23449,P1212,2,169.36,243.88,0.28
O21094,P1225,5,171.94,679.16,0.21
O17220,P1110,2,174.81,286.69,0.18
O21087,P1273,1,204.76,176.09,0.14
O12838,P1088,2,122.15,241.86,0.01
O14594,P1209,2,228.19,456.38,0.0
O23562,P1182,1,121.97,114.65,0.06
O15055,P1267,3,283.98,809.34,0.05
O23929,P1033,1,242.64,169.85,0.3
O20773,P1109,3,256.27,714.99,0.07
O20653,P1172,2,188.6,290.44,0.23
O10936,P1017,2,244.44,420.44,0.14
O16050,P1030,2,88.69,131.26,0.26
O16565,P1106,3,75.04,189.1,0.16
O16000,P1250,1,165.47,163.82,0.01
O24074,P1157,2,211.83,326.22,0.23
O19059,P1058,2,64.11,116.68,0.09
O22868,P1192,2,243.01,461.72,0.05
O11754,P1048,2,133.99,235.82,0.12
O14183,P1024,2,63.61,119.59,0.06
O17723,P1137,3,155.44,433.68,0.07
O22568,P1152,3,293.0,791.1,0.1
O17234,P1096,5,193.6,909.92,0.06
O17644,P1025,2,234.79,417.93,0.11
O19934,P1251,1,246.0,177.12,0.28
O11805,P1208,3,105.31,221.15,0.3
O14797,P1034,1,296.2,225.11,0.24
O22263,P1092,3,201.4,592.12,0.02
O20300,P1191,3,264.47,579.19,0.27
O13179,P1294,1,54.05,41.62,0.23
O18541,P1140,2,108.02,183.63,0.15
O20598,P1052,3,82.29,219.71,0.11
O14075,P1168,5,214.06,813.43,0.24
O24465,P1113,3,124.0,271.56,0.27
O13686,P1231,1,179.18,141.55,0.21
O24526,P1010,1,50.45,42.88,0.15
O21234,P1257,2,17.65,27.89,0.21
O20886,P1031,5,113.46,567.3,0.0
O17924,P1230,1,198.27,140.77,0.29
O21111,P1037,1,221.41,159.42,0.28
O15254,P1029,1,104.35,88.7,0.15
O16684,P1047,2,153.2,220.61,0.28
O21195,P1268,1,81.73,72.74,0.11
O21028,P1222,5,284.7,1195.74,0.16
O19911,P1093,2,171.01,280.46,0.18
O16386,P1157,3,211.83,463.91,0.27
O23252,P1027,1,277.34,235.74,0.15
O17404,P1012,2,237.7,351.8,0.26
O24044,P1033,2,242.64,475.57,0.02
O18343,P1166,1,43.66,35.8,0.18
O23792,P1297,5,147.45,575.06,0.22
O12314,P1189,1,91.74,73.39,0.2
O22183,P1226,1,272.84,256.47,0.06
O21979,P1298,5,59.97,254.87,0.15
O13745,P1158,2,60.26,112.08,0.07
O12567,P1134,1,95.14,94.19,0.01
O19727,P1234,2,289.33,503.43,0.13
O16505,P1160,1,217.23,204.2,0.06
O22891,P1287,3,285.36,684.86,0.2
O17252,P1104,2,56.63,90.61,0.2
O21131,P1001,5,183.61,780.34,
O17129,P1064,5,158.12,751.07,0.05
O11866,P1259,1,53.62,47.19,0.12
O15881,P1078,2,230.87,323.22,0.3
O19254,P1184,5,30.11,118.93,0.21
O17984,P1265,1,299.92,251.93,0.16
O17242,P1095,3,270.19,786.25,0.03
O15673,P1144,1,181.34,141.45,0.22
O16113,P1167,2,21.81,40.13,0.08
O10925,P1156,3,289.17,772.08,0.11
O14491,P1044,3,146.94,308.57,0.3
O10837,P1090,1,42.91,36.04,0.16
O23252,P1069,2,291.82,420.22,0.28
O10096,P1047,2,153.2,254.31,0.17
O22715,P1108,5,226.48,1098.43,0.03
O22163,P1276,2,172.67,324.62,0.06
O19182,P1026,5,269.5,1293.6,0.04
O19092,P1121,1,117.35,96.23,0.18
O24533,P1144,2,181.34,351.8,0.03
O22202,P1001,3,183.61,435.16,0.21
O20452,P1278,3,18.35,45.14,0.18
O24426,P1162,1,223.99,215.03,0.04
O12786,P1041,3,28.43,67.38,0.21
O18241,P1222,5,284.7,1409.26,0.01
O17415,P1227,5,152.86,550.3,0.28
O10773,P1205,2,285.52,525.36,0.08
O20626,P1004,1,215.34,155.04,0.28
O14459,P1198,1,134.41,122.31,0.09
O19905,P1180,2,196.55,294.83,0.25
O14475,P1228,5,145.91,700.37,0.04
O21220,P1164,5,81.84,384.65,0.06
O21131,P1123,3,290.33,870.99,0.0
O14875,P1250,1,165.47,140.65,0.15
O18789,P1217,2,213.28,409.5,0.04
O13933,P1046,5,172.77,656.53,0.24
O18875,P1185,1,15.28,11.46,0.25
O10731,P1031,1,113.46,100.98,0.11
O24559,P1181,2,168.23,238.89,0.29
O23600,P1127,2,171.47,308.65,0.1
O17313,P1043,2,194.89,280.64,0.28
O11174,P1086,1,75.68,68.87,0.09
O24276,P1231,3,179.18,408.53,0.24
O11640,P1161,2,91.18,133.12,0.27
O14006,P1017,3,244.44,703.99,0.04
O16148,P1203,1,13.14,10.64,0.19
O11647,P1288,3,278.71,777.6,0.07
O12616,P1061,2,41.92,78.81,0.06
O10047,P1283,1,136.87,134.13,0.02
O13850,P1012,2,237.7,456.38,0.04
O15925,P1108,2,226.48,412.19,0.09
O12847,P1107,1,78.8,69.34,0.12
O22631,P1297,2,147.45,218.23,0.26
O21225,P1240,1,211.77,207.53,0.02
O24442,P1173,5,23.14,106.44,0.08
O18568,P1266,1,171.08,124.89,0.27
O21856,P1051,5,157.49,598.46,0.24
O13641,P1125,5,121.68,517.14,0.15
O23780,P1266,1,171.08,164.24,0.04
O13892,P1158,1,60.26,59.05,0.02
O20625,P1196,5,235.16,1046.46,0.11
O14022,P1191,5,264.47,938.87,0.29
O19834,P1095,1,270.19,235.07,0.13
O17632,P1065,3,74.41,196.44,0.12
O20617,P1097,5,111.27,467.33,0.16
O17019,P1002,5,55.24,218.2,0.21
O13017,P1124,1,257.37,190.45,0.26
O10700,P1196,1,235.16,188.13,0.2
O15793,P1028,2,66.84,127.0,0.05
O11323,P1297,3,147.45,327.34,0.26
O21448,P1188,1,16.75,16.58,0.01
O22788,P1275,1,257.13,185.13,0.28
O17764,P1079,1,221.18,181.37,0.18
O17483,P1027,1,277.34,232.97,0.16
O17105,P1151,2,194.85,288.38,0.26
O14407,P1034,3,296.2,666.45,0.25
O24276,P1186,1,208.07,178.94,0.14
O23016,P1171,3,135.82,383.01,0.06
O11707,P1093,2,171.01,318.08,0.07
O13550,P1057,5,262.72,1064.02,0.19
O10105,P1085,3,14.81,36.43,0.18
O11325,P1102,1,12.67,10.26,0.19
O24453,P1210,1,238.99,200.75,0.16
O20194,P1243,3,91.48,211.32,0.23
O23083,P1299,3,21.85,48.51,0.26
O15927,P1041,3,28.43,81.88,0.04
O15953,P1288,5,278.71,975.48,0.3
O19920,P1077,5,80.2,368.92,0.08
O12322,P1154,5,88.54,323.17,0.27
O15638,P1237,3,297.96,741.92,0.17
O16381,P1269,1,47.46,42.71,0.1
O19831,P1251,2,246.0,398.52,0.19
O17430,P1254,5,220.46,848.77,0.23
O18167,P1124,1,257.37,231.63,0.1
O13871,P1153,5,103.66,440.55,
O17309,P1273,1,204.76,196.57,0.04
O21273,P1068,5,213.88,748.58,0.3
O22289,P1130,2,297.12,540.76,0.09
O23868,P1056,5,244.35,891.88,0.27
O13940,P1192,3,243.01,597.8,0.18
O16566,P1065,1,74.41,61.02,0.18
O12203,P1174,5,191.5,842.6,0.12
O22532,P1241,5,191.99,719.96,0.25
O22719,P1008,5,162.18,762.25,0.06
O18911,P1241,2,191.99,299.5,0.22
O10413,P1145,3,20.83,60.62,
O15954,P1092,5,201.4,745.18,0.26
O13399,P1142,5,20.42,76.58,0.25
O11612,P1220,2,296.13,432.35,0.27
O18920,P1030,5,88.69,439.02,0.01
O22246,P1248,3,32.54,87.86,0.1
O23486,P1283,1,136.87,98.55,0.28
O12717,P1210,2,238.99,372.82,0.22
O13562,P1261,3,254.21,632.98,0.17
O20931,P1008,5,162.18,640.61,0.21
O11127,P1211,3,153.38,358.91,0.22
O14868,P1072,5,20.7,94.18,0.09
O24512,P1003,5,261.19,1201.47,0.08
O12882,P1288,5,278.71,1086.97,0.22
O16951,P1286,2,190.41,361.78,0.05
O21919,P1085,2,14.81,22.22,0.25
O10013,P1014,3,23.47,62.66,0.11
O21140,P1179,1,176.89,137.97,0.22
O11173,P1286,5,190.41,904.45,0.05
O16817,P1059,1,166.41,126.47,0.24
O21209,P1280,3,71.76,157.15,0.27
O12852,P1217,1,213.28,157.83,0.26
O16137,P1288,2,278.71,496.1,0.11
O14841,P1097,2,111.27,193.61,0.13
O11846,P1295,5,195.85,842.16,0.14
O18714,P1223,5,228.48,971.04,0.15
O13394,P1063,5,259.61,1246.13,0.04
O14291,P1226,5,272.84,1323.27,0.03
O10445,P1264,3,260.77,555.44,0.29
O16361,P1270,3,185.79,434.75,0.22
O16178,P1085,5,14.81,60.72,0.18
O19718,P1095,5,270.19,1337.44,0.01
O10357,P1290,2,294.21,435.43,0.26
O16183,P1040,2,190.76,373.89,
O10048,P1091,1,264.43,253.85,0.04
O14559,P1144,2,181.34,261.13,0.28
O17969,P1038,2,31.47,48.46,0.23
O16579,P1014,2,23.47,43.65,0.07
O21306,P1005,1,291.27,209.71,0.28
O22542,P1272,3,113.87,273.29,0.2
O19447,P1005,2,291.27,460.21,0.21
O22235,P1187,2,102.5,153.75,0.25
O22770,P1200,1,271.74,222.83,0.18
O20835,P1188,2,16.75,27.14,0.19
O17906,P1024,1,63.61,61.7,0.03
O16280,P1192,3,243.01,707.16,0.03
O19802,P1209,2,228.19,424.43,0.07
O14590,P1129,1,38.18,28.25,0.26
O10715,P1056,3,244.35,623.09,0.15
O10817,P1016,5,285.18,1040.91,0.27
O22170,P1161,2,91.18,145.89,
O19486,P1109,1,256.27,222.95,0.13
O11342,P1233,5,261.89,1139.22,0.13
O12790,P1163,2,187.4,311.08,0.17
O18414,P1247,2,112.47,202.45,0.1
O14600,P1124,5,257.37,1171.03,0.09
O12032,P1231,2,179.18,340.44,0.05
O10334,P1167,1,21.81,16.14,0.26
O18789,P1261,1,254.21,246.58,0.03
O17312,P1216,5,39.33,137.65,0.3
O20682,P1234,1,289.33,271.97,0.06
O23893,P1175,5,258.38,930.17,0.28
O15483,P1049,5,41.29,146.58,0.29
O18615,P1225,3,171.94,490.03,0.05
O23641,P1182,5,121.97,536.67,0.12
O24653,P1124,3,257.37,725.78,0.06
O19529,P1269,5,47.46,206.45,0.13
O20228,P1120,1,286.64,223.58,
O15172,P1244,2,268.18,504.18,0.06
O24225,P1089,2,49.88,82.8,0.17
O11744,P1217,5,213.28,842.46,0.21
O12035,P1002,1,55.24,44.19,0.2
O14573,P1278,5,18.35,81.66,0.11
O22952,P1063,3,259.61,685.37,0.12
O16840,P1202,3,269.7,655.37,0.19
O18466,P1016,1,285.18,231.0,0.19
O19058,P1283,1,136.87,117.71,0.14
O24604,P1118,1,17.05,13.3,0.22
O17088,P1203,1,13.14,12.22,
O18069,P1019,2,137.64,225.73,0.18
O20352,P1144,3,181.34,516.82,0.05
O16658,P1035,2,67.63,119.03,0.12
O11551,P1185,5,15.28,73.34,0.04
O13278,P1068,1,213.88,207.46,0.03
O12755,P1266,5,171.08,615.89,0.28
O16005,P1112,3,80.76,213.21,0.12
O17350,P1144,2,181.34,297.4,0.18
O22203,P1225,5,171.94,610.39,0.29
O11693,P1218,5,248.34,1055.44,0.15
O19776,P1291,3,105.34,306.54,0.03
O19974,P1253,5,248.54,1217.85,0.02
O13570,P1155,5,32.75,145.74,0.11
O19184,P1221,1,117.49,112.79,0.04
O11452,P1174,2,191.5,287.25,0.25
O18610,P1221,1,117.49,103.39,0.12
O16421,P1153,2,103.66,192.81,0.07
O21431,P1281,1,14.22,11.66,
O11864,P1072,2,20.7,36.02,0.13
O20534,P1296,1,110.24,81.58,0.26
O18185,P1030,1,88.69,78.05,0.12
O16979,P1016,5,285.18,1283.31,0.1
O15702,P1117,2,219.51,320.48,0.27
O23030,P1043,2,194.89,350.8,0.1
O11882,P1072,5,20.7,89.01,0.14
O13634,P1262,2,145.92,224.72,0.23
O16907,P1005,1,291.27,244.67,0.16
O23145,P1293,2,47.38,70.12,0.26
O11259,P1014,5,23.47,106.79,0.09
O20058,P1233,3,261.89,675.68,0.14
O14386,P1284,1,110.99,87.68,0.21
O22358,P1262,1,145.92,118.2,0.19
O15086,P1288,1,278.71,261.99,0.06
O13975,P1217,5,213.28,778.47,0.27
O21019,P1181,2,168.23,323.0,0.04
O19852,P1121,3,117.35,285.16,0.19
O22283,P1191,3,264.47,777.54,0.02
O16087,P1267,3,283.98,604.88,0.29
O18249,P1003,2,261.19,517.16,
O15599,P1216,5,39.33,161.25,0.18
O23440,P1044,2,146.94,267.43,0.09
O21142,P1290,1,294.21,220.66,0.25
O12509,P1168,5,214.06,1048.89,0.02
O23936,P1073,3,155.78,453.32,0.03
